"Variable","Mean","Median","Variance","Std","Min","Max","IQR","Q1","Q3","Bound"
"Year",2005,2005,82.6666666666667,9.0921211313239,1990,2020,15,"1997.5","2012.5",""
"World",132792.465483871,133582.18,516385473.205186,22724.1165549991,101855.54,167553.41,43676.465,"111176.985","154853.45",""
"OECD",60396.4658064516,61545.96,12114735.9774585,3480.62292951398,52602.49,64883.77,3640.19,"58719.87","62360.06",""
"BRICS",41128.9322580645,38169.66,191821613.656551,13849.9680020046,25993.05,63255.57,28016.67,"27504.95","55521.62",""
"Europe",21487.7380645161,21480.61,808508.736689462,899.171138710236,19643.07,23108.81,1075.775,"20875.85","21951.625",""
"North America",28226.7603225806,28598.17,2397058.26855656,1548.24360762658,24667.23,30424.08,1860.8,"27435.17","29295.97",""
"Latin America",7897.14516129032,8059.59,2364574.50605247,1537.71730368507,5373.06,9978.54,2703.975,"6687.25","9391.225",""
"Asia",45402.0193548387,43693.91,240617469.124033,15511.8493134775,24574.19,69582.29,29377.38,"31383.555","60760.935",""
"Pacific",1563.29709677419,1570.05,42234.1851812903,205.509574427301,1186.26,1802.65,331.455,"1424.675","1756.13",""
"Africa",6851.94580645161,6652.36,3036860.92843849,1742.65915440699,4407.77,9641.27,3012.17,"5355.615","8367.785",""
"Middle-East",5984.19774193548,5675.44,5042483.98314473,2245.54759093294,2581.86,9455.19,3936.755,"4070.5","8007.255",""
"CIS",11823.9583870968,11606.74,1988352.05751398,1410.0893792643,10152.99,16049.4,1081.59,"11001.98","12083.57",""
