"Variable","Mean","Median","Variance","Std","Min","Max","IQR","Q1","Q3","Bound"
"Year",2005,2005,82.6666666666667,9.0921211313239,1990,2020,15,"1997.5","2012.5",""
"China",1923.32258064516,1782,807942.892473118,898.856435963563,848,3381,1790,"1076.5","2866.5",""
"United States",2167.45161290323,2191,13014.5892473118,114.081502651884,1910,2338,127,"2119","2246",""
"Brazil",223.451612903226,216,3075.78924731183,55.4597984788245,141,303,103,"181","284",""
"Belgium",54.9032258064516,56,9.15698924731183,3.026051758862,48,60,4,"53","57",""
"Czechia",43.258064516129,43,4.79784946236559,2.19039938421412,39,50,3,"42","45",""
"France",251.193548387097,252,186.027956989247,13.639206611429,217,273,17,"243.5","260.5",""
"Germany",327.903225806452,335,338.423655913979,18.3962946245699,275,351,27,"313","340",""
"Italy",162.903225806452,162,196.623655913978,14.022255735579,137,187,22.5,"150.5","173",""
"Netherlands",74.8709677419355,75,15.8494623655914,3.98113832535261,67,83,5.5,"72","77.5",""
"Poland",97.4193548387097,98,22.1182795698925,4.70300750264046,89,106,6.5,"94.5","101",""
"Portugal",22.2258064516129,22,7.51397849462366,2.74116371175157,17,26,4.5,"20.5","25",""
"Romania",39.1935483870968,38,46.5612903225806,6.82358339309931,32,62,7.5,"34.5","42",""
"Spain",117.838709677419,121,249.47311827957,15.7947180500182,90,143,20.5,"106.5","127",""
"Sweden",49.258064516129,50,4.13118279569892,2.03253113031484,44,53,2,"48","50",""
"United Kingdom",204.322580645161,213,395.89247311828,19.8970468441495,154,226,31,"190","221",""
"Norway",27.0645161290323,27,10.8623655913979,3.29581030877049,21,33,4.5,"24.5","29",""
"Turkey",92.6129032258064,84,964.245161290323,31.0522971982802,51,147,46.5,"70","116.5",""
"Kazakhstan",59.7741935483871,64,217.847311827957,14.7596514805722,35,82,23.5,"48","71.5",""
"Russia",691.677419354839,688,5143.02580645161,71.7148925011508,588,879,88,"640.5","728.5",""
"Ukraine",139.064516129032,135,1795.19569892473,42.3697498095603,86,252,28,"115","143",""
"Uzbekistan",46.7741935483871,47,11.1139784946237,3.33376341311492,39,53,5.5,"44","49.5",""
"Argentina",66.0645161290323,67,161.129032258065,12.6936611053732,44,83,22,"56","78",""
"Canada",259.516129032258,264,642.058064516129,25.3388647045626,210,301,37,"241","278",""
"Chile",28.0322580645161,28,66.3655913978495,8.14650792658115,14,40,12,"23.5","35.5",""
"Colombia",30.6774193548387,28,36.4924731182796,6.04090002551603,24,42,9,"26","35",""
"Mexico",163.516129032258,171,505.324731182796,22.4794290671003,124,192,39.5,"144","183.5",""
"Venezuela",56.2903225806452,59,136.812903225806,11.6967048020289,29,76,17,"48.5","65.5",""
"Indonesia",171.741935483871,179,1585.59784946237,39.8195661636634,99,237,65.5,"138.5","204",""
"Japan",476.741935483871,483,1500.39784946237,38.7349693360194,386,526,67,"443.5","510.5",""
"Malaysia",61.2258064516129,66,524.113978494624,22.8935357359807,21,96,39,"42","81",""
"South Korea",212.41935483871,214,3968.31827956989,62.9945892880483,94,296,106.5,"165","271.5",""
"Taiwan",89.0322580645161,98,410.365591397849,20.2574823558568,48,110,32.5,"73","105.5",""
"Thailand",95.6129032258064,99,1046.57849462366,32.3508654385575,42,139,55.5,"70","125.5",""
"India",580,515,44045.2666666667,209.869642079713,306,940,370,"402.5","772.5",""
"Australia",112.645161290323,113,224.569892473118,14.9856562243072,85,129,24,"102.5","126.5",""
"New Zealand",17.6129032258065,17,5.04516129032258,2.24614364863928,14,21,3,"16","19",""
"Algeria",37.258064516129,32,189.064516129032,13.7500733135875,22,65,23.5,"24.5","48",""
"Egypt",60.9354838709677,62,479.929032258065,21.9072826306246,33,97,38,"40.5","78.5",""
"Nigeria",108.967741935484,105,1015.03225806452,31.8595709020777,66,160,62,"79.5","141.5",""
"South Africa",118.193548387097,120,279.627956989247,16.7220799241376,88,144,26.5,"106","132.5",""
"Iran",169.064516129032,173,4207.32903225806,64.8639270493089,69,269,110,"110","220",""
"Kuwait",23.1612903225806,25,81.8064516129032,9.04469190259697,3,38,13,"16","29",""
"Saudi Arabia",138.387096774194,123,2912.71182795699,53.9695453747481,58,219,97.5,"91","188.5",""
"United Arab Emirates",49.0645161290323,44,439.862365591398,20.9728959753153,20,83,35,"31","66",""
